uuid,adding_salt,aniseed,apple_juice,apples,asparagus,aubergine,avocados,bacon,baked_steamed_fish,bananas,barbequed_grilled_meat,beef_steak,beetroot,bell_pepper,bicycling,biscuits,bitter_foods,bitter_ale,black_olives,black_pepper,blue_cheese,bolognese_sauce,broad_beans,broccoli,brown_rice,brussel_sprouts,burgers_meat,burn_spicy_foods,butter_bread,butternut_squash,cabbage,cake,cake_icing,capers,cauliflower,cereal_granola_bar,cheesecake,cherries,chicken,chilli_pepper,chips_french_fries,cigarette_smoking,cod,coffee_with_sugar,coffee_without_sugar,coriander,corn_flakes,cream,croissant,cucumber,curry,dairy_products,dark_chocolate,diet_fizzy_drinks,dried_fruit,eggs,exercising_alone,exercising_with_others,extra_virgin_olive_oil,fatty_foods,fresh_tomatoes,fried_chicken,fried_battered_fish,fruit,garlic,gherkins,globe_artichoke,goats_cheese,going_cafe,going_gym,going_pub,grapefruit,green_olives,haddock,ham,hard_cheese,herring,honey,horseradish_wasabi,ice_cream,jam,kiwi_fruit,lager,lamb,lemons,lentils_beans,liver,mackerel,marzipan,mayonnaise,melon,milk_chocolate,mushrooms,onions,orange_juice,oranges,pasta,pears,pizza,plain_yogurt,plums,pollock,pork_chop,porridge,potato_crisps,potatoes,prawns,raw_carrots,red_meat,red_wine,regular_fizzy_drinks,roast_chicken,salad_dressing,salad_leaves,salami,salmon,salty_foods,salty_pretzels,sardines,sausages_meat,savoury_biscuits,shellfish_other,skimmed_milk,smoked_fish,soft_cheese,soy_sauce,soya_milk,spicy_foods,spinach,spirits,strawberries,sweet_coffee_drinks,sweet_foods,taking_stairs,tea_with_sugar,tea_without_sugar,tomato_ketchup,tinned_tuna,turnip_white,vegetables,vinegar,watching_television,whisky,white_bread,white_rice,white_wine,whole_grain_cereal,whole_milk,wholemeal_bread,working_up_sweat
1bcfdb44-ca68-4e30-8c31-a5a6d4e8d653,5,4,6,7,5,4,6,2,2,7,6,7,6,5,3,6,3,1,4,5,2,5,6,6,5,5,4,2,7,6,5,8,8,4,5,3,6,7,5,2,4,10,10,5,4,8,3,6,5,6,4,7,6,1,7,6,5,6,7,4,7,5,1,8,8,4,3,6,7,5,10,3,4,1,1,5,1,8,2,7,8,6,10,9,7,8,3,1,6,4,7,8,7,6,7,8,6,7,5,8,7,1,6,8,5,5,1,6,8,7,2,7,6,7,3,1,5,2,1,4,3,1,5,1,4,5,2,3,7,2,8,6,9,6,5,6,5,1,5,8,5,6,2,6,8,6,5,6,5,4
afba29d8-3f48-40eb-ba30-c1d43181aef3,7,5,6,7,6,7,6,2,8,6,9,8,5,6,7,4,3,2,5,7,3,5,6,6,8,5,4,3,6,6,5,4,2,5,6,3,2,6,7,5,4,11,5,4,6,7,3,5,4,6,5,6,5,2,6,7,6,7,8,4,7,6,5,8,2,4,5,6,7,6,5,3,6,4,2,5,3,4,3,5,4,6,4,8,7,7,3,4,2,4,6,5,6,5,6,7,5,6,5,7,6,4,3,5,4,4,5,6,8,7,2,7,5,6,3,6,5,2,4,3,4,5,3,5,4,5,2,6,7,5,6,2,3,6,3,6,4,5,4,7,5,5,5,4,9,6,5,4,4,6
319adf09-59c1-479c-84bb-8254dcfc8340,5,3,6,7,8,6,7,4,9,7,8,5,6,9,7,4,3,2,8,6,4,5,7,8,6,7,4,2,6,7,7,5,4,8,7,1,5,7,6,3,2,10,8,4,5,6,2,5,6,7,4,6,5,1,6,7,6,7,9,4,8,4,7,9,9,3,6,7,8,5,5,4,7,6,7,5,6,8,3,6,7,5,4,7,6,7,3,7,4,3,8,5,6,7,6,7,6,7,5,6,8,6,7,5,2,5,8,6,5,7,2,6,5,7,4,8,5,2,8,4,3,7,3,7,5,4,2,4,6,3,8,3,6,6,4,5,4,7,5,8,5,5,3,5,6,7,5,4,5,6
bade47ee-dd10-4742-b868-cf0e8825e3c4,6,5,7,8,7,6,8,7,8,7,8,7,6,7,8,4,5,4,7,6,5,8,6,7,7,6,8,3,6,7,6,4,3,6,7,3,2,6,8,4,5,10,7,3,6,7,4,3,5,7,8,6,4,2,5,7,6,7,9,4,8,6,5,8,8,4,6,7,8,7,7,5,6,4,5,7,3,4,5,3,4,6,6,7,8,7,2,4,2,1,7,3,7,7,6,7,9,6,8,5,6,4,6,5,2,7,6,8,6,7,3,8,8,8,5,7,5,3,4,5,4,5,4,6,5,6,4,5,8,4,6,2,2,8,3,6,5,5,6,9,7,5,4,6,6,7,7,5,7,6
74721aa3-e177-4ccf-bb7a-38355130791c,5,3,6,7,8,6,7,4,9,5,8,6,7,9,7,4,3,2,6,8,1,7,5,7,6,6,5,4,1,8,6,5,2,6,7,5,1,7,8,6,3,1,8,4,6,7,4,1,3,8,7,1,6,2,6,7,6,7,9,3,9,5,4,8,9,5,6,1,7,6,6,5,7,6,4,1,5,7,6,2,6,7,5,6,7,8,3,6,5,4,7,2,6,6,7,8,9,7,8,1,6,6,6,5,6,6,8,7,5,7,3,7,6,8,4,9,5,3,6,4,3,7,1,6,1,7,2,6,7,5,8,4,5,8,3,6,5,6,5,9,6,4,5,4,6,7,7,1,6,7
6f310e87-883e-4e9d-b994-0d3db401e367,7,5,6,8,7,6,8,6,9,7,8,7,6,7,5,4,5,4,7,6,2,8,6,7,6,7,5,3,8,7,6,3,2,6,7,4,2,6,7,4,5,10,8,3,6,5,4,6,5,7,5,6,5,3,6,7,5,8,9,4,8,6,7,8,9,5,6,2,8,6,7,4,6,8,5,2,7,3,5,4,3,6,5,7,8,6,2,8,2,5,6,3,7,6,5,7,9,6,8,5,6,8,7,5,6,7,9,6,5,8,3,8,8,8,4,9,6,3,8,5,4,9,4,8,2,5,3,4,7,6,5,2,2,7,3,6,5,8,6,8,6,5,6,5,6,8,7,4,6,7
0a99f901-06f4-4ec4-812b-8a4206c4f116,5,3,4,6,7,6,7,2,9,5,6,4,6,7,8,2,5,4,7,6,3,5,6,7,6,6,3,5,4,7,6,2,1,7,6,3,2,7,6,5,4,10,8,2,6,7,3,4,2,6,5,5,4,1,6,7,6,7,9,3,9,3,7,8,8,4,6,7,8,7,5,3,7,6,4,5,6,2,4,2,3,5,4,5,8,7,3,7,1,4,6,2,6,7,6,7,6,5,5,4,5,6,5,4,5,5,8,6,4,7,2,6,7,7,3,8,5,2,9,3,4,8,3,7,4,5,2,6,7,5,3,1,1,8,2,6,5,7,4,9,6,4,5,4,5,6,5,4,5,7
cdbeb796-1f95-40b2-9195-5027756711af,6,3,5,7,6,5,6,7,8,6,8,9,5,6,7,5,3,4,5,6,4,7,5,6,6,5,8,2,8,6,5,6,5,5,6,1,5,4,7,2,3,1,6,5,6,5,2,6,5,6,4,7,6,1,5,7,5,6,8,6,7,5,6,7,8,4,5,6,7,5,7,3,5,6,7,8,4,6,4,7,6,5,6,9,4,6,5,6,5,5,6,7,6,6,5,5,8,5,7,6,5,6,9,7,4,9,7,8,9,8,3,8,6,7,5,8,6,2,6,8,4,6,5,7,5,4,3,3,7,6,5,4,5,7,5,6,5,6,7,8,3,5,7,6,5,7,6,5,6,6
fd1b2d82-03e6-4de8-a6c6-8abed5cfc518,5,4,6,7,8,7,8,3,8,6,7,5,7,7,6,4,5,3,6,7,5,7,6,8,7,9,4,6,5,8,6,3,2,6,7,3,2,6,7,6,4,1,5,4,7,8,3,5,6,7,8,6,8,2,5,7,6,7,9,4,8,5,4,8,9,4,7,8,8,7,6,4,7,5,3,8,4,5,6,5,6,7,5,6,7,8,2,5,3,4,6,5,7,6,6,7,9,6,8,5,6,5,6,5,4,6,7,5,4,6,2,6,5,7,3,8,5,3,4,3,4,5,3,6,5,7,4,6,7,5,6,2,3,8,3,5,4,5,4,8,5,4,5,4,5,6,7,4,6,7
fc6e54dc-c5ab-4812-a5a7-173417205690,5,3,6,7,6,4,5,4,8,5,7,5,6,5,7,6,3,4,5,6,4,6,5,7,6,6,5,2,7,6,6,8,7,5,6,3,6,5,7,2,4,10,9,4,6,5,3,7,5,6,3,7,6,2,5,8,6,7,9,4,6,5,8,6,7,4,5,7,8,6,6,3,5,8,5,7,9,6,4,7,6,4,5,6,5,7,4,9,5,4,3,6,7,6,5,4,8,5,7,6,5,8,6,8,5,7,8,6,5,6,2,7,5,6,4,9,5,3,8,5,4,7,5,9,5,4,3,2,6,5,7,4,6,8,3,5,4,7,5,7,5,6,5,6,6,6,7,5,7,6
